33,4,2,2102,WGM,Frayna Janelle Mae,0 - 1,WFM,Mendoza Shania Mae,1969,5,PGN
34,5,3,2045,WIM,Fronda Jan Jodilyn,1 - 0,WIM,Galas Bernadette,2023,4,PGN
35,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
36,1,4,2023,WIM,Galas Bernadette,1 - 0,WNM,Tejada Rizalyn Jasmine,1640,10,PGN
37,2,5,1969,WFM,Mendoza Shania Mae,½ - ½,WIM,Fronda Jan Jodilyn,2045,3,PGN
38,3,6,1808,WNM,Magpily Francois Marie,½ - ½,WGM,Frayna Janelle Mae,2102,2,PGN
39,4,7,1782,AGM,Acedo Rowelyn,0 - 1,WIM,San Diego Marie Antoinette,1937,1,PGN
40,5,8,1468,,Villa Ma. Elayza,1 - 0,WFM,Mejia Cherry Ann,1962,9,PGN
41,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
42,1,10,1640,WNM,Tejada Rizalyn Jasmine,½ - ½,WFM,Mejia Cherry Ann,1962,9,PGN
43,2,1,1937,WIM,San Diego Marie Antoinette,½ - ½,,Villa Ma. Elayza,1468,8,PGN
44,3,2,2102,WGM,Frayna Janelle Mae,1 - 0,AGM,Acedo Rowelyn,1782,7,PGN
45,4,3,2045,WIM,Fronda Jan Jodilyn,½ - ½,WNM,Magpily Francois Marie,1808,6,PGN
46,5,4,2023,WIM,Galas Bernadette,½ - ½,WFM,Mendoza Shania Mae,1969,5,PGN
47,Bo.,No.,Rtg,,Name,Result,,Name,Rtg,No.,PGN
48,1,5,1969,WFM,Mendoza Shania Mae,1 - 0,WNM,Tejada Rizalyn Jasmine,1640,10,PGN
49,2,6,1808,WNM,Magpily Francois Marie,½ - ½,WIM,Galas Bernadette,2023,4,PGN
50,3,7,1782,AGM,Acedo Rowelyn,0 - 1,WIM,Fronda Jan Jodilyn,2045,3,PGN
51,4,8,1468,,Villa Ma. Elayza,½ - ½,WGM,Frayna Janelle Mae,2102,2,PGN
52,5,9,1962,WFM,Mejia Cherry Ann,1 - 0,WIM,San Diego Marie Antoinette,1937,1,PGN
